Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,HerleitungMarkiert,Bundesland.Iso3166-2,Bundesland.Name,Fußnoten,Bemerkung
D,A,Augsburg,Augsburg,Augsburg,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,
D,AA,Ostalbkreis,Aalen,AAlen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,AB,Aschaffenburg,Aschaffenburg,AschaffenBurg,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,
D,ABG,Altenburger Land,Altenburg,AltenBurG,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,ABI,Anhalt-Bitterfeld,Anhalt-Bitterfeld,Anhalt-BItterfeld,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,AC,Aachen,Aachen,AaChen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,AE,Vogtlandkreis,Auerbach,AuErbach,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,AH,Borken,Ahaus,AHaus,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,AIB,"München, Rosenheim",Aibling,AIBling,db570744-2875-4814-8782-05fb28e451ec,Bayern,3,
D,AIC,Aichach-Friedberg,Aichach,AIChach,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,AK,Altenkirchen (Westerwald),Altenkirchen,AltenKirchen,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,ALF,Hildesheim,Alfeld,ALFeld,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,ALZ,Aschaffenburg,Alzenau,ALZenau,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,AM,Stadt Amberg,Amberg,AMberg,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Kreis Amberg-Sulzbach"
D,AN,Ansbach,Ansbach,ANsbach,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,
D,ANA,Erzgebirgskreis,Annaberg,ANnAberg,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,ANG,Uckermark,Angermünde,ANGermünde,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,ANK,Vorpommern-Greifswald,Anklam,ANKlam,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,AP,Weimarer Land,Apolda,APolda,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,APD,Weimarer Land,Apolda,APolDa,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,ARN,Ilm-Kreis,Arnstadt,ARNstadt,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,ART,Kyffhäuserkreis,Artern,ARTern,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,AS,Amberg-Sulzbach,"Amberg, Sulzbach","Amberg, Sulzbach",db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,ASL,Salzlandkreis,Aschersleben,ASchersLeben,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,ASZ,Erzgebirgskreis,"Aue, Schwarzenberg","Aue, SchwarZenberg",07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,AT,Mecklenburgische Seenplatte,Altentreptow,AltenTreptow,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,AU,Erzgebirgskreis,Aue,AUe,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,AUR,Aurich,Aurich,AURich,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,AW,Ahrweiler,Ahrweiler,AhrWeiler,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,AZ,Alzey-Worms,Alzey,AlZey,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,AZE,Anhalt-Bitterfeld,Landkreis Anhalt-Zerbst (bis 2007),Landkreis Anhalt-ZErbst (bis 2007),e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,AÖ,Altötting,Altötting,AltÖtting,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,B,Berlin,Berlin,Berlin,2472044d-230a-44f7-ad3e-d19d7ce0cfb0,Berlin,,
D,BA,Bamberg,Bamberg,BAmberg,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,
D,BAD,Stadt Baden-Baden,Baden-Baden,BADen-Baden,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BAR,Barnim,Barnim,BARnim,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,BB,Böblingen,Böblingen,BöBlingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BBG,Salzlandkreis,Bernburg,BernBurG,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,BC,Biberach,Biberach,BiberaCh,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BCH,Neckar-Odenwald-Kreis,Buchen,BuCHen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BE,Warendorf,Beckum,BEckum,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BED,Mittelsachsen,Brand-Erbisdorf,Brand-ErbisDorf,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,BER,Barnim,Bernau,BERnau,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,BF,Steinfurt,Burgsteinfurt,BurgsteinFurt,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BGD,Berchtesgadener Land,Berchtesgaden,BerchtesGaDen,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,BGL,Berchtesgadener Land,Berchtesgadener Land,BerchtesGadener Land,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,BH,"Ortenaukreis, Raststatt",Bühl,BüHl,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BI,Stadt Bielefeld,Bielefeld,BIelefeld,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BID,Marburg-Biedenkopf,Biedenkopf,BIeDenkopf,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,BIN,Mainz-Bingen,Bingen,BINgen,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,BIR,Birkenfeld,Birkenfeld,BIRkenfeld,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,BIT,Eifelkreis Bitburg-Prüm,Bitburg,BITburg,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,BIW,Bautzen,Bischofswerda,BIschofsWerda,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,BK,"Börde, Rems-Murr-Kreis, Schwäbisch Hall",Backnang,BacKnang,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,"4,5,5",
D,BKS,Bernkastel-Wittlich,Bernkastel,BernKaStel,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,BL,Zollernalbkreis,Balingen,BaLingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BLB,Siegen-Wittgenstein,Berleburg,BerLeBurg,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BLK,Burgenlandkreis,Burgenlandkreis,BurgenLandKreis,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,BM,Rhein-Erft-Kreis,Bergheim,BergheiM,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BN,Stadt Bonn,Bonn,BonN,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BNA,Leipzig,Borna,BorNA,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,BO,Stadt Bochum,Bochum,BOchum,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BOG,Straubing-Bogen,Bogen,BOGen,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,BOH,Borken,Bocholt,BOcHolt,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BOR,Borken,Borken,BORken,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BOT,Stadt Bottrop,Bottrop,BOTtrop,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BR,Landkreis Karlsruhe,Bruchsal,BRuchsal,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BRA,Wesermarsch,Brake,BRAke,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,BRB,Stadt Brandenburg,Brandenburg,BRandenBurg,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Kreis Potsdam-Mittelmark"
D,BRG,Jerichower Land,Burg,BuRG,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,BRK,Bad Kissingen,Brückenau,BRücKenau,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,BRL,Goslar,Braunlage,BRaunLage,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,BRV,Rotenburg (Wümme),Bremervörde,BRemerVörde,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,BS,Stadt Braunschweig,Braunschweig,BraunSchweig,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,BSB,Osnabrück,Bersenbrück,BerSenBrück,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,BSK,Oder-Spree,Beeskow,BeeSKow,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,BT,Bayreuth,Bayreuth,BayreuTh,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,
D,BTF,Anhalt-Bitterfeld,Bitterfeld,BitTerFeld,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,BUL,"Amberg-Sulzbach, Schwandorf",Burglengenfeld,BUrgLengenfeld,db570744-2875-4814-8782-05fb28e451ec,Bayern,"3,3",
D,BZ,Bautzen,Bautzen,BautZen,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,BÖ,Börde,Börde,BÖrde,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,BÜD,Wetteraukreis,Büdingen,BÜDingen,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,BÜR,Paderborn,Büren,BÜRen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,BÜS,"Konstanz, Gemeinde Büsingen am Hochrhein",Büsingen,BÜSingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,BÜZ,Landkreis Rostock,Bützow,BÜtZow,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,C,Stadt Chemnitz,Chemnitz,Chemnitz,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Zwickau"
D,CA,Oberspreewald-Lausitz,Calau,CAlau,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,CAS,Recklinghausen,Castrop,CAStrop,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,CB,Stadt Cottbus,Cottbus,CottBus,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Spree-Neiße"
D,CE,Celle,Celle,CElle,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,CHA,Cham,Cham,CHAm,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,CLP,Cloppenburg,Cloppenburg,CLopPenburg,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,CLZ,Goslar,Clausthal-Zellerfeld,CLausthal-Zellerfeld,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,CO,"Zulassungsstelle Coburg, Zweckverband",Coburg,COburg,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,COC,Cochem-Zell,Cochem,COChem,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,COE,Coesfeld,Coesfeld,COEsfeld,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,CR,Schwäbisch Hall,Crailsheim,CRailsheim,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,CUX,Cuxhaven,Cuxhaven,CUXhaven,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,CW,Calw,Calw,CalW,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,D,Stadt Düsseldorf,Düsseldorf,Düsseldorf,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,DA,Darmstadt,Darmstadt,DArmstadt,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,2,
D,DAH,Dachau,Dachau,DAcHau,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,DAN,Lüchow-Dannenberg,Dannenberg,DANnenberg,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,DAU,Vulkaneifel,Daun,DAUn,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,DBR,Landkreis Rostock,Doberan,DoBeRan,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,DD,Stadt Dresden,Dresden,DresDen,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,6,
D,DE,Stadt Dessau-Roßlau,Dessau,DEssau,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,DEG,Deggendorf,Deggendorf,DEGgendorf,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,DEL,Stadt Delmenhorst,Delmenhorst,DELmenhorst,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,DGF,Dingolfing-Landau,Dingolfing,DinGolFing,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,DH,Diepholz,Diepholz,DiepHolz,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,DI,Darmstadt-Dieburg,Dieburg,DIeburg,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,DIL,Lahn-Dill-Kreis,Dillenburg,DILlenburg,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,DIN,Wesel,Dinslaken,DINslaken,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,DIZ,Rhein-Lahn-Kreis,Diez,DIeZ,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,DKB,Ansbach,Dinkelsbühl,DinKelsBühl,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,DL,Mittelsachsen,Döbeln,DöbeLn,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,DLG,Dillingen an der Donau,Dillingen,DilLinGen,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,DM,Mecklenburgische Seenplatte,Demmin,DemMin,8e0cd2ee-f394-46be-9cb5-1f1df6941f7b,Mecklenburg-Vorpommern,,
D,DN,Düren,Düren,DüreN,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,DO,Stadt Dortmund,Dortmund,DOrtmund,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,DON,Donau-Ries in Donauwörth,Donauwörth,DONauwörth,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,DS,Schwarzwald-Baar-Kreis,Donaueschingen,DonaueSchingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,DU,Stadt Duisburg,Duisburg,DUisburg,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,DUD,Göttingen,Duderstadt,DUDerstadt,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,DW,Sächsische Schweiz-Osterzgebirge,Dippoldiswalde,DippoldisWalde,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,DZ,Nordsachsen,Delitzsch,DelitZsch,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,DÜW,Bad Dürkheim,Dürkheim an der Weinstraße,DÜrkheim an der Weinstraße,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,E,Stadt Essen,Essen,Essen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,EA,Wartburgkreis,Eisenach,EisenAch,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,EB,Nordsachsen,Eilenburg,EilenBurg,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,EBE,Ebersberg,Ebersberg,EBErsberg,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,EBN,Haßberge,Ebern,EBerN,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,EBS,"Bayreuth, Forchheim, Kulmbach",Ebermannstadt,EBermannStadt,db570744-2875-4814-8782-05fb28e451ec,Bayern,"3,3,3",
D,ECK,Rendsburg-Eckernförde,Eckernförde,ECKernförde,8559927d-c36a-4a30-acb9-9c2bee46dc2f,Schleswig-Holstein,,
D,ED,Erding,Erding,ErDing,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,EE,Elbe-Elster,"Elbe, Elster","Elbe, Elster",83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,EF,Stadt Erfurt,Erfurt,ErFurt,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Sömmerda"
D,EG,Rottal-Inn,Eggenfelden,EGgenfelden,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,EH,Oder-Spree,Eisenhüttenstadt,EisenHüttenstadt,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,EI,Eichstätt,Eichstätt,EIchstätt,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,EIC,Eichsfeld,Eichsfeld,EIChsfeld,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,EIL,Mansfeld-Südharz,Eisleben,EIsLeben,e4d7462d-d6fd-48a6-9337-bf0bcb883966,Sachsen-Anhalt,,
D,EIN,Northeim,Einbeck,EINbeck,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,EIS,Saale-Holzland-Kreis,Eisenberg,EISenberg,fda8e1a5-2ede-465b-a88a-f6a995ff692e,Thüringen,,
D,EL,Emsland,Emsland,EmsLand,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,EM,Emmendingen,Emmendingen,EMmendingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,EMD,Stadt Emden,Emden,EMDen,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,EMS,Rhein-Lahn-Kreis,Ems,EMS,144b42c4-7d68-487f-9292-0c6009d8b9ce,Rheinland-Pfalz,,
D,EN,Ennepe-Ruhr-Kreis,Ennepe,ENnepe,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,ER,Stadt Erlangen,Erlangen,ERlangen,db570744-2875-4814-8782-05fb28e451ec,Bayern,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Erlangen-Höchstadt"
D,ERB,Odenwaldkreis,Erbach,ERBach,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,ERH,Erlangen-Höchstadt,"Erlangen, Höchstadt","ERlangen, Höchstadt",db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,ERK,Heinsberg,Erkelenz,ERKelenz,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,ERZ,Erzgebirgskreis,Erzgebirge,ERZgebirge,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,ES,Esslingen,Esslingen,ESslingen,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,ESB,"Amberg-Sulzbach, Bayreuth, Neustadt a. d. Waldnaab, Nürnberger Land",Eschenbach,ESchenBach,db570744-2875-4814-8782-05fb28e451ec,Bayern,"3,3,3,3",
D,ESW,Werra-Meißner-Kreis,Eschwege,ESchWege,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,EU,Euskirchen,Euskirchen,EUskirchen,8084bb44-94a4-423f-be8e-a4ad8d229bb1,Nordrhein-Westfalen,,
D,EW,Barnim,Eberswalde,EbersWalde,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,F,Stadt Frankfurt am Main,Frankfurt,Frankfurt,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,FB,Wetteraukreis in Friedberg Hessen,Friedberg,FriedBerg,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,FD,Fulda,Fulda,FulDa,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,FDB,Aichach-Friedberg,Friedberg,FrieDBerg,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,FDS,Freudenstadt,Freudenstadt,FreuDenStadt,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,FEU,Ansbach,Feuchtwangen,FEUchtwangen,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,FF,Stadt Frankfurt (Oder),Frankfurt,FrankFurt,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,FFB,Fürstenfeldbruck,Fürstenfeldbruck,FürstenFeldBruck,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,FG,Mittelsachsen,Freiberg,FreiberG,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,FI,Elbe-Elster,Finsterwalde,FInsterwalde,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,FKB,Waldeck-Frankenberg,Frankenberg,FranKenBerg,632d4fda-80d9-40ea-a608-fd0284c10945,Hessen,,
D,FL,Flensburg,Flensburg,FLensburg,8559927d-c36a-4a30-acb9-9c2bee46dc2f,Schleswig-Holstein,,
D,FLÖ,Mittelsachsen,Flöha,FLÖha,07d97651-8268-461e-a43c-bd494d3d6c8f,Sachsen,,
D,FN,Bodenseekreis,Friedrichshafen,FriedrichshafeN,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,,
D,FO,Forchheim,Forchheim,FOrchheim,db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,FOR,Spree-Neiße,Forst,FORst,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
D,FR,"Stadt Freiburg im Breisgau, Breisgau-Hochschwarzwald",Freiburg,FReiburg,3afe663f-8f23-4325-9ac6-1152875a8528,Baden-Württemberg,"3,3",
D,FRG,Freyung-Grafenau,"Freyung, Grafenau","FReyung, Grafenau",db570744-2875-4814-8782-05fb28e451ec,Bayern,,
D,FRI,Friesland,Friesland,FRIesland,92bf005e-2b97-4d41-a651-9759d3c0b48c,Niedersachsen,,
D,FRW,Märkisch-Oderland,Freienwalde,FReienWalde,83876b48-e588-4d24-a55d-e57bd0a23fe6,Brandenburg,,
